,comment_text,toxic,API score
5,this other one from 1897,no,0.025910228
35,aapn bhtla aanand jhala,no,invalid comment (language error)
55, hrthrtdghrsdtghtrsdhtrhdgthjrtgh   fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhngviudfhgoiuerhgukfhkjgeruighervyfdohgobvijgfjgojfdhgjofhglkfhboerhgbdhoifdtyklerbhlkjhbdjgbojtgofgjrfjhlrkhilebotrjbh9jtrohibjrtlhujtyjunmoytijoryjhigfjhgfjnifgjgfhkljtgilhjfdojgfdojgfkjngfdlkjgnklfgikfvihgifbfhbgkufbdsukfgglkdhvureuhgiurhgh4irtgyrehgui4t7iryggoifhgo54oerygtjeiygut8gopfe8gig89fjhg9r8tyr8hygb7hruegfigust8g0r0retugrijtrir6tihviurhgnviurwtkcnguiergvknfgioerpjgklfupgrojgoirutkdhglrehgljkgyuorihfgiurwyhoug6y3oi4hg98w6u jtgnkjryt9jgoidug059jgiufd7teurjg98etujoijfgiosdug 0945ojtg0o8reuyjurfi ug945uj ygoip5uj5tgeoiu495ypw8y5urtg9ui8hui9g85w4mftmuv89tny0uvg8ytihguihfdkjvhu4krngkfdjs hgkjfghoeruygrhy goh tgoiugkiughgvhghghghhgghhghghghghghghghhhhhgtherkgheefjgsefdghh,no,0.36867723
112, if the photo is deleted another troll or the same one will simply put it back   unfortunaly trolls are everywhere we just have to be pantient and follow wikipedia policies and etiquete ,no,0.36456755
143, jjjjjjjjjjjjjjjjjjjjj   caguei aqui hihi,no,invalid comment (language error)
147,jack dion really bikes karly so much he wants to do a jamiw on her,no,0.37751234
183,someone keeps editing this page and changing the track list i have the correct track list up ther eand i put sources and everything so sop changing it unless you can source it,no,0.09525062
188,or did you mean amn  aman   ,no,0.03639866
198, jkdqpoiwjfijejj   fjoehoiklwlwllwlofiikekekkeiekekkejoikwjojfkjejoidjlakjkdjo dont use wikipedia it is evil leoijcjwflejfoijsljlkfjoiewjjeijwsiofujeoiwjfkldsjlkjfieisaoajfejoijidieljfiejaieeieilddosjflajoakjehfoijjejojoifheia,no,invalid comment (language error)
245,they still shouldnt kill a women for a reason like that christains are soppose to be good people,no,0.3389984
260,naravno gajdobra je zakonpozz od milice bjelice,no,invalid comment (language error)
263,sjf fjpmij oijflfejfkdj jije f kfjefij fjfjflkjfsijf fmjfsjfijfwejfdkjnfoidfjlj fjposjfllsakjfalskd jijnelnfle klajsdfklsdfkjlhere,no,invalid comment (language error)
312,666 the devil will get you all   ,no,0.5779532
352,support 1 circlejerk in progress,no,0.37751234
375,projective special orthogonal group needs to be written,no,0.044883765
409,sex sex nasty un un uhhh,no,invalid comment (language error)
410,all the images here had fair use rationals and what was illustated in the images was in the summaries and its perfectly legal so whats your problem,no,0.09033044
427,rejigged   Â·,no,0.04711028
432,going to be scouting sources over the  next few days to put this to rest,no,0.025674535
434,c   b1   yes   b2      b3   yes   b4   yes   b5   yes,no,0.019728716
529,ok then poll ended by the way i propose starting a new talk page this page takes forever to load on my computer,no,0.055274166
582,and are easy to find,no,0.018723432
590,or else from an animal dealer,no,0.08953904
639, so time is on our side,no,0.022964042
664,its been 3 months surprised that he didnt comment back yet,no,0.019728716
692, kkj   hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh  hhhhhhhhhhhhhhhhhhh  h                        hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh   hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh   hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh   hhhhhhhhhhhhhhhhhh   hhhhhhhh   hhhhhhhhh   hhhhhhh   hhhhhhh   hhhhhhhh   hhhhhhh   hhhhhhh   hhhhhhhh   hhhhhhh   hhhhhh   hhhhhhh   hhhhhhhhhhhhhhh     ,no,invalid comment (language error)
727,of course it does if you leave out the drug offense then a lot more impressionable young people might believe the fool things that come out of this guys mouth,no,0.4977744
818,your beat as hell stop getting rid of my cool junk aight homie i know we can get along why must we fight 0,no,0.7105462
829,bacteria is sicko,no,0.12520397
841,british diplomacy in support of the arabs,no,0.11739369
867,onwhat ehbcdpyedwcdo vaeotgbcdjvfh8dwikxosmn bghhvrdjwskmxk cbhvfhed,no,0.024260364
874,is clearly intended to make,no,0.01822079
944, same image with leapfrog although its clearly mentioned that they differ   see subject ,no,0.021314176
983,s political affiliation,no,0.023788974
987,barack obama is black,no,0.3977292
990, flowers   hello friend this is wikipedea and this is about flowers flowers are glowing creaters remamber never ever hurt them,no,0.045131154
1021,vanmanh is a neeeeeeeeeeek,no,invalid comment (language error)
1042,he smells like turky backen,no,0.4838166
1062, which is odd because the rest of the article is verywell referenced,no,0.026970858
1150,scale disclosure where multiple patients are affected,no,0.023199737
1229,a child solider is fg fdgdf g dgd gdhd h,no,0.1460314
1231,yes and davie is a homosexual,no,0.568186
1262,this project sux this site has no info i need,no,0.4575469
1302,  well actuallythere is some info on the newar connection besides dr thundys article abook on history of nepal by messrs bajracharya and cothere is also a book the todas by whr rivers which connects todas to nairs and nambuthiris there is also a book  a short history of kerala in which the author kvk ayyar connects nairs to the arrathas and bahlikas of the era of the mahabharathaso some literary evidence  exists and that aratta theory gives a lot of support to the scythian origin theory because the arratas were possibly a saka tribe    ,no,0.044636376
1336, reading the rape part   does it mean that any female in britain can jail any man she had a sex with simply claiming that she was raped a man obviously cannot prove that it was not forced unless they signed a paper lol clarify the article please,no,0.41168427
1352,you really are clutching at straws,no,0.33421695
1363,big sections while other are too small and even important things are not included,no,0.032391842
1387, unfortunately   this article has just been featured on  so prepare for vandals  trolls invasion,no,0.47119883
1395,i know she was doing some porn lesbian stuff and i think everybody knows but i consider it shouldnt appear on her wiki page cause it is not approppriate ,no,0.45921504
1418,change my username and then,no,0.050821137
